iter	Passed	Remaining
0	38	19257
1	70	17503
2	111	18406
3	144	17948
4	178	17623
5	205	16919
6	239	16874
7	273	16791
8	302	16512
9	334	16397
10	367	16342
11	399	16240
12	432	16213
13	463	16102
14	496	16043
15	526	15933
16	558	15854
17	590	15802
18	604	15293
19	635	15244
20	662	15121
21	691	15013
22	718	14900
23	748	14841
24	776	14761
25	804	14659
26	832	14577
27	860	14500
28	888	14424
29	916	14357
30	944	14287
31	973	14237
32	1003	14202
33	1031	14144
34	1061	14101
35	1089	14045
36	1122	14048
37	1167	14195
38	1204	14241
39	1245	14318
40	1304	14607
41	1352	14753
42	1391	14790
43	1449	15025
44	1504	15209
45	1532	15127
46	1560	15045
47	1591	14989
48	1623	14941
49	1654	14888
50	1685	14835
51	1715	14777
52	1744	14711
53	1768	14603
54	1796	14534
55	1823	14461
56	1852	14401
57	1881	14335
58	1910	14279
59	1959	14368
60	2006	14439
61	2040	14418
62	2071	14371
63	2112	14390
64	2146	14366
65	2180	14338
66	2217	14328
67	2255	14328
68	2295	14337
69	2317	14236
70	2350	14200
71	2383	14169
72	2393	14002
73	2425	13962
74	2461	13951
75	2496	13927
76	2531	13907
77	2569	13902
78	2618	13956
79	2664	13988
80	2705	13992
81	2736	13947
82	2771	13925
83	2811	13922
84	2836	13850
85	2870	13816
86	2924	13883
87	2960	13859
88	2991	13814
89	3022	13768
90	3042	13676
91	3072	13624
92	3101	13574
93	3114	13452
94	3134	13362
95	3163	13314
96	3194	13269
97	3223	13224
98	3257	13195
99	3289	13157
100	3320	13116
101	3351	13076
102	3381	13035
103	3412	12994
104	3444	12956
105	3475	12918
106	3509	12890
107	3539	12847
108	3569	12803
109	3598	12757
110	3628	12716
111	3657	12670
112	3686	12624
113	3706	12548
114	3744	12535
115	3777	12505
116	3815	12491
117	3839	12430
118	3881	12428
119	3926	12434
120	3944	12355
121	3954	12253
122	3988	12223
123	4029	12219
124	4052	12157
125	4095	12155
126	4130	12131
127	4162	12096
128	4199	12076
129	4230	12039
130	4263	12010
131	4299	11987
132	4350	12004
133	4400	12019
134	4458	12053
135	4489	12017
136	4522	11982
137	4560	11963
138	4593	11930
139	4641	11934
140	4673	11898
141	4705	11862
142	4741	11836
143	4765	11782
144	4801	11754
145	4837	11730
146	4876	11709
147	4911	11682
148	4947	11654
149	4984	11629
150	5005	11569
151	5039	11538
152	5076	11513
153	5115	11492
154	5157	11480
155	5190	11445
156	5225	11415
157	5259	11384
158	5291	11347
159	5325	11316
160	5357	11281
161	5391	11248
162	5423	11212
163	5451	11168
164	5482	11131
165	5511	11089
166	5543	11054
167	5577	11021
168	5612	10993
169	5646	10961
170	5687	10943
171	5738	10943
172	5781	10927
173	5821	10906
174	5854	10873
175	5883	10831
176	5923	10810
177	5959	10780
178	5992	10746
179	6027	10716
180	6063	10687
181	6100	10658
182	6139	10635
183	6175	10606
184	6211	10575
185	6252	10555
186	6292	10532
187	6329	10504
188	6359	10464
189	6384	10416
190	6421	10388
191	6466	10373
192	6509	10354
193	6552	10335
194	6583	10297
195	6616	10262
196	6648	10225
197	6678	10186
198	6698	10131
199	6728	10092
200	6759	10054
201	6774	9993
202	6803	9953
203	6833	9914
204	6857	9867
205	6878	9816
206	6908	9778
207	6937	9739
208	6967	9701
209	6998	9664
210	7028	9627
211	7068	9602
212	7099	9566
213	7131	9530
214	7167	9501
215	7210	9480
216	7239	9441
217	7270	9404
218	7306	9375
219	7344	9348
220	7376	9311
221	7410	9279
222	7438	9240
223	7468	9201
224	7497	9163
225	7528	9127
226	7559	9091
227	7589	9053
228	7619	9016
229	7649	8980
230	7678	8942
231	7708	8904
232	7738	8868
233	7759	8820
234	7788	8783
235	7819	8746
236	7851	8712
237	7886	8681
238	7922	8651
239	7947	8609
240	7977	8573
241	8006	8535
242	8035	8497
243	8063	8459
244	8092	8422
245	8120	8384
246	8148	8346
247	8176	8308
248	8204	8270
249	8233	8233
250	8260	8195
251	8289	8158
