Tanggal,Gold_USD
2003-01-01,358.1905
2003-02-01,358.5368
2003-03-01,339.9238
2003-04-01,329.2857
2003-05-01,355.9286
2003-06-01,356.4857
2003-07-01,351.1182
2003-08-01,360.5762
2003-09-01,379.3667
2003-10-01,378.9304
2003-11-01,389.8889
2003-12-01,408.8
2004-01-01,414.7263
2004-02-01,403.9526
2004-03-01,407.4696
2004-04-01,403.9571
2004-05-01,383.77
2004-06-01,392.1857
2004-07-01,398.3524
2004-08-01,401.8909
2004-09-01,406.2333
2004-10-01,421.0238
2004-11-01,438.655
2004-12-01,442.7143
2005-01-01,424.15
2005-02-01,424.0105
2005-03-01,434.8952
2005-04-01,429.635
2005-05-01,422.2952
2005-06-01,431.4238
2005-07-01,423.97
2005-08-01,437.8304
2005-09-01,457.3048
2005-10-01,469.9952
2005-11-01,475.56
2005-12-01,509.5524
2006-01-01,550.97
2006-02-01,555.2105
2006-03-01,558.1
2006-04-01,612.0632
2006-05-01,673.6409
2006-06-01,595.5182
2006-07-01,634.3947
2006-08-01,630.0652
2006-09-01,598.3667
2006-10-01,585.8136
2006-11-01,626.96
2006-12-01,628.045
2007-01-01,630.3905
2007-02-01,666.079
2007-03-01,653.6409
2007-04-01,679.92
2007-05-01,667.5864
2007-06-01,654.8048
2007-07-01,665.7857
2007-08-01,665.0565
2007-09-01,715.3684
2007-10-01,756.0304
2007-11-01,805.6
2007-12-01,807.96
2008-01-01,891.3571
2008-02-01,925.11
2008-03-01,962.93
2008-04-01,909.6636
2008-05-01,888.2048
2008-06-01,889.8952
2008-07-01,939.9318
2008-08-01,835.8333
2008-09-01,828.9619
2008-10-01,801.9913
2008-11-01,754.8895
2008-12-01,822.6682
2009-01-01,861.56
2009-02-01,942.2632
2009-03-01,925.2955
2009-04-01,892.6667
2009-05-01,929.71
2009-06-01,946.35
2009-07-01,935.5091
2009-08-01,949.6952
2009-09-01,998.7143
2009-10-01,1044.3091
2009-11-01,1126.245
2009-12-01,1128.9773
2010-01-01,1116.8263
2010-02-01,1098.1895
2010-03-01,1114.3565
2010-04-01,1151.4524
2010-05-01,1203.955
2010-06-01,1234.6636
2010-07-01,1191.7476
2010-08-01,1217.4455
2010-09-01,1273.0381
2010-10-01,1343.219
2010-11-01,1370.1857
2010-12-01,1393.9546
2011-01-01,1361.68
2011-02-01,1373.8053
2011-03-01,1422.6174
2011-04-01,1481.865
2011-05-01,1511.0143
2011-06-01,1527.9955
2011-07-01,1577.125
2011-08-01,1758.4913
2011-09-01,1762.1857
2011-10-01,1669.9143
