iter	RMSE
0	313064.3701
1	309987.7495
2	307184.1783
3	304792.7276
4	302698.1448
5	299704.7376
6	296095.3895
7	292726.9472
8	289347.5872
9	286915.0779
10	284181.5009
11	280634.3248
12	278193.8745
13	274733.5019
14	271298.3621
15	268603.0809
16	265388.6291
17	262828.8969
18	260385.4791
19	257617.623
20	255185.8342
21	252497.9385
22	250403.9057
23	248006.0555
24	246545.3537
25	243916.1563
26	241261.9526
27	239260.3569
28	236948.6737
29	234237.0345
30	232305.4824
31	229546.6189
32	227191.529
33	224714.9301
34	222467.7225
35	220054.2678
36	218305.9982
37	216445.3978
38	214116.6994
39	212696.3381
40	210758.3478
41	209320.9186
42	207959.2859
43	205871.791
44	203566.4468
45	201423.7876
46	199992.0151
47	198367.3708
48	196464.6063
49	194433.6769
50	192862.1095
51	190742.4974
52	189049.3932
53	187216.5382
54	185485.032
55	183517.3138
56	181775.8884
57	179870.7859
58	178365.109
59	176911.8727
60	175195.4384
61	173653.2813
62	171822.2489
63	170346.6185
64	168616.448
65	167101.5281
66	165667.6948
67	164232.6361
68	162987.7218
69	161569.4743
70	160566.975
71	159085.4544
72	158243.2116
73	156901.9014
74	155375.1525
75	154286.275
76	152991.7164
77	151730.8321
78	150760.3033
79	149861.4772
80	148722.1035
81	147693.813
82	146527.9141
83	145519.661
84	144635.5323
85	143843.885
86	143096.0246
87	142074.4604
88	141061.6528
89	139870.1621
90	139192.1603
91	138294.2329
92	137391.5029
93	136699.6949
94	135825.0505
95	134841.1908
96	133886.6339
97	133083.238
98	132381.1359
99	131460.6019
100	130417.1434
101	129551.8593
102	128663.5717
103	127810.3197
104	127141.2734
105	126060.4675
106	125387.5875
107	124454.1105
108	123602.5769
109	122856.9065
110	122130.2982
111	121452.4049
112	120727.8186
113	120336.3928
114	119841.8034
115	119207.772
116	118535.2451
117	118053.2513
118	117383.1348
119	116762.0394
120	116222.0318
121	115833.3501
122	115174.7612
123	114469.9537
124	114083.3474
125	113318.4959
126	112687.3019
127	112099.8775
128	111571.7951
129	111008.7717
130	110451.1295
131	109888.2813
132	109273.2965
133	108792.5189
134	108335.0084
135	107691.5604
136	107115.3042
137	106577.9802
138	105723.6389
139	105287.0595
140	104746.349
141	104210.9997
142	103617.5337
143	103333.1219
144	102806.2496
145	102446.9213
146	101959.76
147	101559.2309
148	101054.4299
149	100420.8366
150	100136.1656
151	99669.51076
152	99197.17777
153	98764.99173
154	98436.65429
155	98121.50671
156	97796.77544
157	97247.23258
158	96769.27086
159	96441.26086
160	96073.75501
161	95712.43812
162	95263.03589
163	94909.59795
164	94647.84776
165	94203.82243
166	93856.81039
167	93567.07044
168	93217.63133
169	92658.97531
170	92390.84679
171	92018.7231
172	91693.45573
173	91363.87975
174	91012.05373
175	90707.15071
176	90295.78267
177	89891.41197
178	89470.05719
179	89086.31883
180	88728.26863
181	88420.04501
182	87959.70498
183	87675.40182
184	87457.27508
185	87125.23035
186	86824.7252
187	86459.38884
188	86264.89358
189	86028.35334
190	85695.0282
191	85473.80128
192	85137.30926
193	84794.40311
194	84657.22144
195	84432.88823
196	84096.26369
197	83763.76624
198	83566.26301
199	83288.42769
200	82995.99301
201	82832.2336
202	82465.80655
203	82214.4405
204	81866.6759
205	81639.65951
206	81445.6296
207	81132.39721
208	80918.74616
209	80733.80642
210	80343.85388
211	79970.38594
212	79718.4391
213	79337.14642
214	79102.62559
215	78810.86204
216	78508.80102
217	78268.4038
218	78070.94605
219	77874.53609
220	77572.95195
221	77173.25318
222	76933.95978
223	76569.37865
224	76353.02095
225	76176.30814
226	76037.05532
227	75787.11168
228	75489.54317
229	75247.61633
230	74962.84913
231	74691.91707
232	74492.37243
233	74324.30962
234	74147.89312
235	73943.89863
236	73725.69187
237	73464.92282
238	73270.81639
239	73149.72609
240	72825.45931
241	72609.57017
242	72379.21345
243	72047.45441
244	71692.67139
245	71611.40452
246	71457.01413
