iter	Passed	Remaining
0	171	85721
1	197	49174
2	226	37506
3	256	31820
4	286	28369
5	311	25607
6	340	23966
7	370	22795
8	399	21818
9	441	21652
10	471	20950
11	500	20361
12	529	19852
13	559	19425
14	588	19019
15	621	18793
16	649	18461
17	678	18162
18	693	17545
19	725	17402
20	755	17227
21	785	17062
22	814	16893
23	842	16715
24	871	16563
25	901	16437
26	947	16605
27	987	16644
28	1015	16495
29	1044	16364
30	1073	16248
31	1112	16263
32	1151	16292
33	1185	16250
34	1215	16145
35	1248	16085
36	1277	15981
37	1305	15873
38	1334	15772
39	1363	15680
40	1393	15596
41	1422	15510
42	1451	15425
43	1479	15334
44	1509	15257
45	1541	15209
46	1569	15128
47	1598	15049
48	1627	14975
49	1659	14933
50	1688	14866
51	1718	14807
52	1748	14750
53	1772	14642
54	1808	14631
55	1838	14579
56	1866	14506
57	1895	14443
58	1920	14353
59	1954	14335
60	1984	14280
61	2014	14229
62	2044	14183
63	2082	14187
64	2112	14138
65	2142	14086
66	2172	14042
67	2202	13994
68	2232	13943
69	2252	13834
70	2283	13795
71	2315	13762
72	2324	13598
73	2359	13581
74	2389	13538
75	2419	13495
76	2449	13454
77	2479	13416
78	2510	13376
79	2540	13337
80	2570	13297
81	2601	13259
82	2630	13215
83	2693	13337
84	2714	13252
85	2749	13235
86	2790	13247
87	2820	13204
88	2850	13164
89	2881	13126
90	2903	13048
91	2932	13005
92	2963	12967
93	2973	12841
94	2992	12759
95	3022	12718
96	3051	12679
97	3082	12643
98	3113	12612
99	3147	12590
100	3179	12559
101	3208	12518
102	3239	12484
103	3274	12468
104	3305	12433
105	3337	12404
106	3367	12369
107	3399	12339
108	3430	12304
109	3461	12272
110	3491	12237
111	3522	12203
112	3551	12164
113	3572	12095
114	3601	12058
115	3633	12029
116	3665	11999
117	3685	11931
118	3719	11907
119	3750	11875
120	3772	11815
121	3782	11720
122	3814	11691
123	3849	11672
124	3864	11592
125	3893	11557
126	3923	11524
127	3953	11491
128	3983	11457
129	4015	11429
130	4047	11401
131	4078	11369
132	4108	11336
133	4145	11322
134	4177	11294
135	4206	11259
136	4239	11232
137	4269	11199
138	4298	11164
139	4330	11134
140	4360	11101
141	4389	11066
142	4424	11046
143	4446	10992
144	4476	10960
145	4507	10928
146	4539	10900
147	4569	10868
148	4601	10839
149	4631	10807
150	4652	10753
151	4683	10722
152	4715	10695
153	4745	10661
154	4779	10638
155	4812	10612
156	4843	10582
157	4874	10551
158	4904	10519
159	4934	10486
160	4967	10458
161	4999	10430
162	5030	10400
163	5061	10370
164	5092	10339
165	5123	10307
